time     | tare Tscale (C) | Tscale (C)  | 56 wt unadj  | 2425 wt unadj | 56 wt adj  | 2425 wt adj   |
--------------------------------------------------------------------------------------------------
0.0 |28.093 |28.125 |0.0 |0.043 |0.054 |0.016 |
15.183 |28.093 |28.187 |-0.064 |-0.039 |0.097 |-0.119 |
30.46 |28.093 |28.125 |-0.071 |0.006 |-0.017 |-0.021 |
45.738 |28.093 |28.187 |-0.098 |0.217 |0.063 |0.137 |
61.106 |28.093 |28.25 |-0.138 |0.202 |0.131 |0.068 |
76.383 |28.093 |28.25 |-0.128 |-0.039 |0.141 |-0.173 |
91.751 |28.093 |28.25 |-0.15 |-0.034 |0.119 |-0.168 |
106.941 |28.093 |28.312 |-0.224 |-0.056 |0.152 |-0.244 |
122.127 |28.093 |28.25 |-0.32 |-0.073 |-0.051 |-0.208 |
137.717 |28.093 |28.312 |-0.246 |-0.031 |0.13 |-0.219 |
152.812 |28.093 |28.312 |-0.3 |-0.026 |0.076 |-0.214 |
168.096 |28.093 |28.312 |-0.359 |0.063 |0.016 |-0.125 |
183.373 |28.093 |28.312 |-0.31 |0.033 |0.066 |-0.155 |
198.649 |28.093 |28.375 |-0.34 |-0.044 |0.144 |-0.286 |
213.927 |28.093 |28.375 |-0.485 |-0.135 |-0.001 |-0.378 |
229.022 |28.093 |28.375 |-0.34 |0.071 |0.144 |-0.171 |
244.299 |28.093 |28.437 |-0.379 |0.041 |0.212 |-0.255 |
259.576 |28.093 |28.437 |-0.406 |0.068 |0.185 |-0.227 |
274.853 |28.093 |28.437 |-0.443 |0.061 |0.148 |-0.235 |
290.22 |28.093 |28.437 |-0.465 |0.021 |0.125 |-0.274 |
305.496 |28.093 |28.5 |-0.542 |0.076 |0.157 |-0.274 |
320.773 |28.093 |28.5 |-0.532 |0.118 |0.167 |-0.232 |
336.049 |28.093 |28.5 |-0.515 |0.237 |0.185 |-0.113 |
351.327 |28.093 |28.5 |-0.539 |0.048 |0.16 |-0.301 |
366.693 |28.093 |28.5 |-0.556 |0.177 |0.143 |-0.172 |
381.97 |28.093 |28.5 |-0.559 |0.001 |0.14 |-0.348 |
397.428 |28.093 |28.562 |-0.731 |0.287 |0.074 |-0.116 |
412.704 |28.093 |28.562 |-0.625 |0.143 |0.18 |-0.26 |
427.98 |28.093 |28.562 |-0.761 |0.19 |0.045 |-0.213 |
443.347 |28.093 |28.562 |-0.64 |0.15 |0.166 |-0.253 |
458.624 |28.093 |28.625 |-0.786 |0.217 |0.129 |-0.24 |
473.901 |28.093 |28.625 |-0.719 |0.187 |0.195 |-0.27 |
489.177 |28.093 |28.625 |-0.739 |0.205 |0.175 |-0.252 |
504.726 |28.093 |28.625 |-0.795 |0.182 |0.119 |-0.275 |
520.001 |28.093 |28.625 |-0.803 |0.234 |0.111 |-0.223 |
535.368 |28.093 |28.625 |-0.791 |0.329 |0.124 |-0.128 |
550.648 |28.093 |28.625 |-0.864 |0.264 |0.05 |-0.193 |
565.923 |28.093 |28.687 |-0.872 |0.177 |0.149 |-0.333 |
581.293 |28.093 |28.687 |-0.926 |0.225 |0.095 |-0.286 |
596.485 |28.093 |28.687 |-0.993 |0.222 |0.028 |-0.288 |
611.761 |28.093 |28.687 |-0.978 |0.267 |0.043 |-0.244 |
627.127 |28.093 |28.75 |-0.909 |0.259 |0.22 |-0.305 |
642.403 |28.093 |28.75 |-0.924 |0.22 |0.206 |-0.345 |
657.588 |28.093 |28.75 |-0.985 |0.197 |0.144 |-0.367 |
672.773 |28.093 |28.75 |-1.012 |0.257 |0.117 |-0.308 |
688.139 |28.093 |28.812 |-1.054 |0.232 |0.182 |-0.386 |
703.416 |28.093 |28.75 |-1.074 |0.287 |0.055 |-0.278 |
718.691 |28.093 |28.812 |-0.985 |0.324 |0.251 |-0.294 |
733.966 |28.093 |28.812 |-1.126 |0.334 |0.11 |-0.284 |
749.24 |28.093 |28.875 |-1.039 |0.602 |0.305 |-0.07 |
764.605 |28.093 |28.812 |-1.091 |0.23 |0.145 |-0.388 |
779.879 |28.093 |28.875 |-1.084 |0.289 |0.26 |-0.383 |
795.153 |28.093 |28.875 |-1.158 |0.339 |0.187 |-0.333 |
810.337 |28.093 |28.875 |-1.244 |0.319 |0.1 |-0.353 |
825.611 |28.093 |28.937 |-1.177 |0.2 |0.273 |-0.526 |
840.975 |28.093 |28.937 |-1.298 |0.316 |0.153 |-0.409 |
856.249 |28.093 |28.937 |-1.323 |0.383 |0.128 |-0.342 |
871.613 |28.093 |28.937 |-1.345 |0.374 |0.106 |-0.352 |
886.887 |28.093 |28.875 |-1.293 |0.374 |0.051 |-0.299 |
902.069 |28.093 |28.937 |-1.355 |0.401 |0.096 |-0.325 |
917.343 |28.093 |28.937 |-1.325 |0.364 |0.126 |-0.362 |
932.706 |28.093 |28.937 |-1.421 |0.485 |0.03 |-0.24 |
947.98 |28.093 |28.937 |-1.402 |0.52 |0.049 |-0.205 |
963.253 |28.093 |28.937 |-1.48 |0.448 |-0.03 |-0.277 |
978.618 |28.093 |29.0 |-1.443 |0.406 |0.116 |-0.374 |
993.891 |28.093 |29.062 |-1.867 |0.468 |-0.201 |-0.365 |
1009.255 |28.093 |29.062 |-1.505 |0.508 |0.161 |-0.325 |
1024.438 |28.093 |29.062 |-1.498 |0.513 |0.168 |-0.32 |
1039.711 |28.093 |29.062 |-1.461 |0.359 |0.205 |-0.474 |
1054.894 |28.093 |29.062 |-1.485 |0.167 |0.181 |-0.665 |
1069.985 |28.093 |29.0 |-1.576 |0.416 |-0.017 |-0.364 |
1085.26 |28.093 |29.062 |-1.544 |0.567 |0.121 |-0.266 |
1100.533 |28.093 |29.062 |-1.581 |0.54 |0.084 |-0.293 |
1115.806 |28.093 |29.062 |-1.589 |0.453 |0.077 |-0.38 |
1131.079 |28.093 |29.062 |-1.618 |0.585 |0.048 |-0.248 |
1146.17 |28.093 |29.125 |-1.569 |0.53 |0.205 |-0.357 |
1161.442 |28.093 |29.125 |-1.66 |0.485 |0.114 |-0.402 |
1176.624 |28.093 |29.125 |-1.621 |0.562 |0.153 |-0.325 |
1191.896 |28.093 |29.125 |-1.712 |0.525 |0.062 |-0.362 |
1207.259 |28.093 |29.125 |-1.746 |0.555 |0.028 |-0.332 |
1222.532 |28.093 |29.187 |-1.645 |0.547 |0.235 |-0.393 |
1237.895 |28.093 |29.187 |-1.788 |0.557 |0.093 |-0.383 |
1253.257 |28.093 |29.187 |-1.724 |0.612 |0.157 |-0.329 |
1268.529 |28.093 |29.25 |-1.766 |0.694 |0.223 |-0.301 |
1283.801 |28.093 |29.187 |-1.83 |0.689 |0.051 |-0.252 |
1299.164 |28.093 |29.187 |-1.81 |0.624 |0.07 |-0.316 |
1314.255 |28.093 |29.25 |-1.939 |0.639 |0.051 |-0.355 |
1329.527 |28.093 |29.25 |-1.818 |0.654 |0.171 |-0.341 |
1344.708 |28.093 |29.25 |-1.828 |0.594 |0.161 |-0.4 |
1359.98 |28.093 |29.312 |-1.882 |0.699 |0.214 |-0.349 |
1375.252 |28.093 |29.25 |-1.894 |0.53 |0.095 |-0.465 |
1390.526 |28.093 |29.25 |-1.966 |0.736 |0.024 |-0.259 |
1405.889 |28.093 |29.312 |-1.985 |0.632 |0.11 |-0.416 |
1421.16 |28.093 |29.312 |-2.047 |0.689 |0.049 |-0.359 |
1436.431 |28.093 |29.312 |-2.035 |0.706 |0.061 |-0.342 |
1451.612 |28.093 |29.312 |-2.037 |0.669 |0.059 |-0.379 |
1466.883 |28.093 |29.312 |-2.003 |0.748 |0.093 |-0.3 |
1482.154 |28.093 |29.375 |-2.121 |0.724 |0.083 |-0.379 |
1497.424 |28.093 |29.312 |-2.086 |0.585 |0.009 |-0.463 |
1512.695 |28.093 |29.375 |-2.133 |0.711 |0.071 |-0.391 |
1527.966 |28.093 |29.375 |-2.128 |0.748 |0.076 |-0.354 |
1543.236 |28.093 |29.375 |-2.084 |0.768 |0.12 |-0.334 |
1558.416 |28.093 |29.375 |-2.163 |0.848 |0.041 |-0.254 |
1573.687 |28.093 |29.437 |-2.195 |0.823 |0.116 |-0.333 |
1589.138 |28.093 |29.437 |-2.153 |0.843 |0.158 |-0.313 |
1604.409 |28.093 |29.5 |-2.301 |0.731 |0.118 |-0.479 |
1619.498 |28.093 |29.5 |-2.222 |0.788 |0.197 |-0.421 |
1634.678 |28.093 |29.437 |-2.239 |0.843 |0.072 |-0.313 |
1649.858 |28.093 |29.5 |-2.224 |0.607 |0.195 |-0.603 |
1665.128 |28.093 |29.5 |-2.308 |0.83 |0.111 |-0.379 |
1680.308 |28.093 |29.5 |-2.301 |0.828 |0.118 |-0.382 |
1695.578 |28.093 |29.5 |-2.308 |0.813 |0.111 |-0.397 |
1710.848 |28.093 |29.5 |-2.372 |0.21 |0.047 |-1.0 |
1726.119 |28.093 |29.5 |-2.389 |0.895 |0.03 |-0.315 |
1741.21 |28.093 |29.562 |-2.407 |0.87 |0.119 |-0.393 |
1756.298 |28.093 |29.562 |-2.38 |0.217 |0.146 |-1.046 |
1771.659 |28.093 |29.562 |-2.431 |0.845 |0.095 |-0.418 |
1786.93 |28.093 |29.562 |-2.434 |0.848 |0.092 |-0.415 |
1802.2 |28.093 |29.562 |-2.449 |0.284 |0.077 |-0.979 |
1817.561 |28.093 |29.625 |-2.471 |0.927 |0.163 |-0.39 |
1832.832 |28.093 |29.562 |-2.451 |0.868 |0.075 |-0.395 |
1848.017 |28.093 |29.562 |-2.49 |0.937 |0.035 |-0.326 |
1863.287 |28.093 |29.625 |-2.463 |0.984 |0.171 |-0.333 |
1878.466 |28.093 |29.625 |-2.426 |0.95 |0.208 |-0.368 |
1893.736 |28.093 |29.625 |-2.591 |0.393 |0.043 |-0.924 |
1908.734 |28.093 |29.625 |-2.567 |0.666 |0.067 |-0.651 |
1924.004 |28.093 |29.687 |-2.651 |0.95 |0.09 |-0.421 |
1939.182 |28.093 |29.687 |-2.631 |1.133 |0.11 |-0.237 |
1954.362 |28.093 |29.687 |-2.638 |0.306 |0.103 |-1.064 |
1969.721 |28.093 |29.687 |-2.646 |0.46 |0.095 |-0.91 |
1984.991 |28.093 |29.75 |-2.614 |1.009 |0.236 |-0.415 |
2000.169 |28.093 |29.75 |-2.69 |0.825 |0.159 |-0.599 |
2015.348 |28.093 |29.75 |-2.744 |0.798 |0.105 |-0.627 |
2030.617 |28.093 |29.75 |-2.737 |0.873 |0.112 |-0.552 |
2045.977 |28.093 |29.75 |-2.685 |1.031 |0.164 |-0.393 |
2061.336 |28.093 |29.75 |-2.739 |1.233 |0.11 |-0.192 |
2076.787 |28.093 |29.75 |-2.734 |0.252 |0.115 |-1.173 |
2092.057 |28.093 |29.75 |-2.808 |0.753 |0.041 |-0.671 |
2107.326 |28.093 |29.75 |-2.7 |1.094 |0.149 |-0.331 |
2122.595 |28.093 |29.75 |-2.843 |0.932 |0.006 |-0.492 |
2137.773 |28.093 |29.812 |-2.848 |1.247 |0.108 |-0.23 |
2153.132 |28.093 |29.812 |-2.946 |1.034 |0.01 |-0.444 |
2168.401 |28.093 |29.812 |-2.845 |0.974 |0.111 |-0.504 |
2183.579 |28.093 |29.812 |-2.867 |1.041 |0.088 |-0.437 |
2198.758 |28.093 |29.812 |-2.88 |1.141 |0.076 |-0.337 |
2213.936 |28.093 |29.812 |-3.0 |1.026 |-0.045 |-0.451 |
2229.024 |28.093 |29.875 |-2.961 |1.098 |0.103 |-0.434 |
2244.294 |28.093 |29.875 |-2.926 |1.106 |0.138 |-0.426 |
2259.472 |28.093 |29.875 |-2.995 |1.071 |0.069 |-0.461 |
2274.651 |28.093 |29.875 |-3.02 |1.22 |0.044 |-0.312 |
2289.924 |28.093 |29.875 |-3.003 |1.034 |0.061 |-0.498 |
2305.102 |28.093 |29.937 |-2.934 |1.123 |0.237 |-0.462 |
2320.372 |28.093 |29.937 |-3.055 |1.089 |0.116 |-0.497 |
2335.731 |28.093 |29.875 |-3.015 |1.446 |0.049 |-0.086 |
2351.0 |28.093 |29.875 |-3.092 |1.128 |-0.027 |-0.404 |
2366.001 |28.093 |29.875 |-3.089 |1.2 |-0.025 |-0.332 |
2381.179 |28.093 |29.937 |-3.124 |1.198 |0.047 |-0.388 |
2396.448 |28.093 |29.937 |-3.156 |1.468 |0.015 |-0.117 |
2411.717 |28.093 |29.937 |-3.151 |1.158 |0.02 |-0.427 |
2426.894 |28.093 |29.937 |-3.109 |1.235 |0.062 |-0.35 |
2442.254 |28.093 |29.937 |-3.257 |1.292 |-0.086 |-0.293 |
2457.522 |28.093 |29.937 |-3.21 |1.23 |-0.039 |-0.355 |
2472.7 |28.093 |29.937 |-3.195 |1.178 |-0.024 |-0.407 |
2487.969 |28.093 |29.937 |-3.289 |1.18 |-0.118 |-0.405 |
2503.242 |28.093 |29.937 |-3.222 |1.203 |-0.051 |-0.383 |
2518.517 |28.093 |30.0 |-3.345 |1.312 |-0.066 |-0.328 |
2533.695 |28.093 |30.0 |-3.195 |1.213 |0.084 |-0.427 |
2548.963 |28.093 |30.0 |-3.247 |1.297 |0.032 |-0.342 |
2564.412 |28.093 |30.062 |-3.234 |1.285 |0.151 |-0.408 |
2579.681 |28.093 |30.062 |-3.193 |1.151 |0.193 |-0.542 |
2594.949 |28.093 |30.062 |-3.335 |1.342 |0.05 |-0.351 |
2610.217 |28.093 |30.062 |-3.281 |1.339 |0.105 |-0.354 |
2625.484 |28.093 |30.062 |-3.308 |1.302 |0.077 |-0.391 |
2640.752 |28.093 |30.125 |-3.367 |1.223 |0.127 |-0.524 |
2655.844 |28.093 |30.125 |-3.363 |1.26 |0.132 |-0.487 |
2671.02 |28.093 |30.125 |-3.343 |1.568 |0.151 |-0.179 |
2686.378 |28.093 |30.125 |-3.311 |1.352 |0.183 |-0.395 |
2701.646 |28.093 |30.125 |-3.432 |1.183 |0.063 |-0.564 |
2716.913 |28.093 |30.187 |-3.365 |1.29 |0.236 |-0.511 |
2732.181 |28.093 |30.187 |-3.392 |1.247 |0.209 |-0.553 |
2747.448 |28.093 |30.187 |-3.429 |1.292 |0.172 |-0.508 |
2762.625 |28.093 |30.187 |-3.515 |1.386 |0.086 |-0.414 |
2777.893 |28.093 |30.187 |-3.562 |1.426 |0.039 |-0.374 |
2793.161 |28.093 |30.187 |-3.446 |1.637 |0.155 |-0.163 |
2808.337 |28.093 |30.187 |-3.518 |1.478 |0.083 |-0.322 |
2823.604 |28.093 |30.25 |-3.552 |1.185 |0.157 |-0.669 |
2838.781 |28.093 |30.187 |-3.557 |1.401 |0.044 |-0.399 |
2854.139 |28.093 |30.25 |-3.399 |1.158 |0.31 |-0.697 |
2869.497 |28.093 |30.25 |-3.513 |1.347 |0.196 |-0.508 |
2884.764 |28.093 |30.25 |-3.651 |1.53 |0.058 |-0.324 |
2900.031 |28.093 |30.25 |-3.643 |1.377 |0.066 |-0.478 |
2915.207 |28.093 |30.312 |-3.641 |1.034 |0.175 |-0.874 |
2930.384 |28.093 |30.312 |-3.705 |1.409 |0.111 |-0.499 |
2945.651 |28.093 |30.312 |-3.629 |1.421 |0.187 |-0.487 |
2960.918 |28.093 |30.312 |-3.656 |1.434 |0.16 |-0.474 |
2976.275 |28.093 |30.312 |-3.7 |1.56 |0.116 |-0.348 |
2991.452 |28.093 |30.25 |-3.592 |1.463 |0.118 |-0.391 |
3006.538 |28.093 |30.312 |-3.673 |1.503 |0.143 |-0.405 |
3021.804 |28.093 |30.312 |-3.776 |1.535 |0.039 |-0.372 |
3037.161 |28.093 |30.312 |-3.722 |1.136 |0.094 |-0.772 |
3052.337 |28.093 |30.375 |-3.769 |1.439 |0.155 |-0.523 |
3067.604 |28.093 |30.375 |-3.695 |1.523 |0.229 |-0.439 |
3082.78 |28.093 |30.375 |-3.808 |1.498 |0.116 |-0.464 |
3098.049 |28.093 |30.312 |-3.776 |1.175 |0.039 |-0.732 |
3113.315 |28.093 |30.375 |-3.764 |1.478 |0.16 |-0.484 |
3128.492 |28.093 |30.375 |-3.799 |1.53 |0.126 |-0.432 |
3143.758 |28.093 |30.375 |-3.799 |1.54 |0.126 |-0.422 |
3159.024 |28.093 |30.375 |-3.892 |1.319 |0.032 |-0.643 |
3174.38 |28.093 |30.375 |-3.858 |1.57 |0.066 |-0.392 |
3189.646 |28.093 |30.375 |-3.85 |1.439 |0.074 |-0.523 |
3204.912 |28.093 |30.437 |-3.988 |1.64 |0.043 |-0.376 |
3220.088 |28.093 |30.437 |-3.932 |1.386 |0.099 |-0.629 |
3235.173 |28.093 |30.437 |-3.89 |1.593 |0.141 |-0.423 |
3250.438 |28.093 |30.437 |-4.003 |1.575 |0.028 |-0.44 |
3265.613 |28.093 |30.437 |-3.944 |1.712 |0.087 |-0.304 |
3280.887 |28.093 |30.5 |-3.87 |1.563 |0.269 |-0.507 |
3296.064 |28.093 |30.5 |-3.986 |1.667 |0.153 |-0.403 |
3311.329 |28.093 |30.437 |-3.961 |1.63 |0.07 |-0.386 |
3326.685 |28.093 |30.437 |-4.087 |1.575 |-0.056 |-0.44 |
3342.041 |28.093 |30.437 |-4.028 |1.6 |0.003 |-0.415 |
3357.216 |28.093 |30.437 |-3.978 |1.764 |0.052 |-0.252 |
3372.572 |28.093 |30.437 |-3.986 |1.739 |0.045 |-0.276 |
3387.746 |28.093 |30.5 |-3.951 |1.61 |0.188 |-0.46 |
3403.102 |28.093 |30.5 |-4.114 |1.501 |0.025 |-0.569 |
3418.367 |28.093 |30.5 |-4.119 |1.29 |0.02 |-0.78 |
3433.722 |28.093 |30.5 |-4.116 |1.59 |0.023 |-0.48 |
3448.897 |28.093 |30.437 |-4.094 |1.632 |-0.063 |-0.383 |
3464.162 |28.093 |30.5 |-4.104 |1.856 |0.035 |-0.214 |
3479.336 |28.093 |30.437 |-4.144 |0.892 |-0.113 |-1.123 |
3494.601 |28.093 |30.437 |-4.163 |1.821 |-0.132 |-0.194 |
3509.775 |28.093 |30.5 |-4.18 |1.756 |-0.041 |-0.313 |
3525.04 |28.093 |30.5 |-4.173 |1.727 |-0.034 |-0.343 |
3540.215 |28.093 |30.5 |-4.205 |1.28 |-0.066 |-0.79 |
3555.481 |28.093 |30.5 |-4.163 |1.821 |-0.024 |-0.249 |
3570.656 |28.093 |30.5 |-4.2 |1.637 |-0.061 |-0.432 |
3586.014 |28.093 |30.562 |-4.375 |1.756 |-0.129 |-0.367 |
3601.099 |28.093 |30.562 |-4.205 |1.732 |0.041 |-0.391 |
3616.364 |28.093 |30.562 |-4.212 |1.841 |0.033 |-0.282 |
3631.629 |28.093 |30.562 |-4.262 |1.694 |-0.016 |-0.429 |
3647.075 |28.093 |30.625 |-4.227 |1.873 |0.127 |-0.304 |
3662.253 |28.093 |30.625 |-4.311 |2.007 |0.043 |-0.17 |
3677.608 |28.093 |30.625 |-4.193 |1.915 |0.161 |-0.262 |
3692.964 |28.093 |30.625 |-4.208 |1.717 |0.147 |-0.46 |
3708.139 |28.093 |30.625 |-4.336 |1.727 |0.019 |-0.45 |
3723.404 |28.093 |30.625 |-4.267 |1.724 |0.087 |-0.453 |
3738.578 |28.093 |30.625 |-4.262 |1.774 |0.092 |-0.403 |
3754.024 |28.093 |30.625 |-4.281 |1.101 |0.073 |-1.076 |
3769.289 |28.093 |30.687 |-4.286 |1.771 |0.174 |-0.459 |
3784.463 |28.093 |30.687 |-4.318 |1.955 |0.142 |-0.275 |
3799.728 |28.093 |30.687 |-4.382 |1.828 |0.078 |-0.402 |
3815.083 |28.093 |30.687 |-4.333 |1.55 |0.128 |-0.68 |
3830.256 |28.093 |30.687 |-4.311 |1.823 |0.15 |-0.407 |
3845.611 |28.093 |30.687 |-4.328 |1.801 |0.133 |-0.429 |
3860.785 |28.093 |30.687 |-4.368 |1.833 |0.093 |-0.397 |
3876.139 |28.093 |30.687 |-4.451 |1.563 |0.009 |-0.668 |
3891.403 |28.093 |30.625 |-4.36 |1.858 |-0.006 |-0.319 |
3906.487 |28.093 |30.687 |-4.313 |1.93 |0.147 |-0.3 |
3921.841 |28.093 |30.687 |-4.392 |1.918 |0.068 |-0.313 |
3937.015 |28.093 |30.687 |-4.407 |1.039 |0.054 |-1.192 |
3952.278 |28.093 |30.687 |-4.407 |1.831 |0.054 |-0.4 |
3967.451 |28.093 |30.625 |-4.407 |2.005 |-0.053 |-0.172 |
3982.625 |28.093 |30.687 |-4.486 |1.97 |-0.025 |-0.26 |
3997.981 |28.093 |30.687 |-4.52 |0.781 |-0.06 |-1.45 |
4013.155 |28.093 |30.75 |-4.498 |1.838 |0.071 |-0.446 |
4028.336 |28.093 |30.687 |-4.407 |1.918 |0.054 |-0.313 |
4043.6 |28.093 |30.75 |-4.449 |1.876 |0.12 |-0.409 |
4058.863 |28.093 |30.75 |-4.382 |1.553 |0.187 |-0.732 |
4074.127 |28.093 |30.75 |-4.486 |1.103 |0.083 |-1.181 |
4089.481 |28.093 |30.75 |-4.548 |1.9 |0.022 |-0.384 |
4104.836 |28.093 |30.75 |-4.516 |2.064 |0.054 |-0.22 |
4120.009 |28.093 |30.75 |-4.523 |1.744 |0.046 |-0.541 |
4135.183 |28.093 |30.75 |-4.587 |1.97 |-0.018 |-0.315 |
4150.446 |28.093 |30.75 |-4.496 |1.918 |0.073 |-0.367 |
4165.801 |28.093 |30.75 |-4.58 |2.072 |-0.01 |-0.213 |
4180.884 |28.093 |30.812 |-4.582 |2.034 |0.094 |-0.303 |
4196.058 |28.093 |30.812 |-4.552 |1.982 |0.123 |-0.356 |
4211.324 |28.093 |30.812 |-4.508 |2.057 |0.168 |-0.281 |
4226.497 |28.093 |30.875 |-4.516 |1.965 |0.269 |-0.427 |
4241.851 |28.093 |30.875 |-4.617 |1.965 |0.168 |-0.427 |
4257.205 |28.093 |30.875 |-4.629 |1.913 |0.155 |-0.479 |
4272.468 |28.093 |30.875 |-4.666 |1.965 |0.118 |-0.427 |
4287.912 |28.093 |30.875 |-4.607 |2.104 |0.178 |-0.288 |
4303.176 |28.093 |30.875 |-4.636 |1.977 |0.148 |-0.415 |
4318.44 |28.093 |30.937 |-4.562 |2.054 |0.329 |-0.391 |
4333.703 |28.093 |30.875 |-4.641 |2.054 |0.143 |-0.338 |
4348.784 |28.093 |30.937 |-4.621 |1.992 |0.269 |-0.453 |
4364.047 |28.093 |30.937 |-4.673 |2.089 |0.218 |-0.356 |
4379.401 |28.093 |30.937 |-4.685 |2.027 |0.205 |-0.418 |
4394.574 |28.093 |30.937 |-4.683 |2.106 |0.208 |-0.339 |
4409.927 |28.093 |30.937 |-4.703 |2.0 |0.188 |-0.446 |
4425.099 |28.093 |30.937 |-4.54 |2.183 |0.351 |-0.262 |
4440.277 |28.093 |31.0 |-4.759 |1.141 |0.24 |-1.359 |
4455.45 |28.093 |30.937 |-4.727 |2.044 |0.163 |-0.401 |
4470.622 |28.093 |31.0 |-4.732 |2.131 |0.267 |-0.368 |
4485.798 |28.093 |31.062 |-4.742 |2.082 |0.364 |-0.471 |
4500.971 |28.093 |31.0 |-4.806 |1.89 |0.193 |-0.609 |
4516.143 |28.093 |31.062 |-4.742 |2.054 |0.364 |-0.499 |
4531.406 |28.093 |31.0 |-4.855 |2.077 |0.144 |-0.423 |
4546.669 |28.093 |31.062 |-4.762 |2.111 |0.344 |-0.441 |
4561.932 |28.093 |31.062 |-4.782 |0.13 |0.324 |-2.423 |
4577.108 |28.093 |31.062 |-4.846 |2.01 |0.26 |-0.543 |
4592.56 |28.093 |31.062 |-4.875 |0.339 |0.231 |-2.214 |
4607.822 |28.093 |31.062 |-4.858 |2.094 |0.248 |-0.459 |
4623.085 |28.093 |31.062 |-4.91 |2.034 |0.196 |-0.518 |
4638.257 |28.093 |31.062 |-4.801 |2.193 |0.305 |-0.36 |
4653.61 |28.093 |31.062 |-4.974 |1.503 |0.132 |-1.05 |
4669.054 |28.093 |31.125 |-4.777 |2.218 |0.438 |-0.389 |
4684.136 |28.093 |31.125 |-4.897 |2.129 |0.317 |-0.478 |
4699.398 |28.093 |31.062 |-4.888 |2.258 |0.218 |-0.295 |
4714.57 |28.093 |31.062 |-4.868 |1.419 |0.238 |-1.134 |
4729.741 |28.093 |31.125 |-4.868 |2.265 |0.346 |-0.342 |
4745.003 |28.093 |31.062 |-4.809 |2.33 |0.297 |-0.223 |
4760.084 |28.093 |31.125 |-4.878 |2.223 |0.337 |-0.384 |
4775.256 |28.093 |31.062 |-4.949 |1.655 |0.157 |-0.898 |
4790.518 |28.093 |31.125 |-4.9 |2.208 |0.314 |-0.399 |
4805.961 |28.093 |31.187 |-4.979 |2.141 |0.342 |-0.519 |
4821.042 |28.093 |31.187 |-4.971 |2.201 |0.35 |-0.46 |
4836.304 |28.093 |31.125 |-4.947 |1.674 |0.268 |-0.933 |
4851.656 |28.093 |31.125 |-4.959 |2.196 |0.255 |-0.411 |
4866.918 |28.093 |31.125 |-4.991 |2.263 |0.223 |-0.344 |
4882.089 |28.093 |31.125 |-4.981 |2.241 |0.233 |-0.367 |
4897.261 |28.093 |31.187 |-5.094 |1.642 |0.226 |-1.018 |
4912.523 |28.093 |31.187 |-4.993 |2.375 |0.327 |-0.286 |
4927.604 |28.093 |31.125 |-4.954 |2.382 |0.26 |-0.225 |
4942.866 |28.093 |31.187 |-5.043 |2.012 |0.278 |-0.648 |
4958.128 |28.093 |31.187 |-5.062 |1.64 |0.258 |-1.021 |
4973.481 |28.093 |31.187 |-5.08 |2.37 |0.241 |-0.291 |
4988.652 |28.093 |31.25 |-5.033 |2.39 |0.396 |-0.325 |
5003.914 |28.093 |31.187 |-5.072 |2.285 |0.249 |-0.375 |
5019.175 |28.093 |31.187 |-5.097 |2.315 |0.224 |-0.345 |
5034.437 |28.093 |31.187 |-5.003 |2.288 |0.318 |-0.373 |
5049.609 |28.093 |31.187 |-5.107 |2.342 |0.214 |-0.318 |
5064.781 |28.093 |31.187 |-5.136 |2.322 |0.184 |-0.338 |
5080.133 |28.093 |31.187 |-5.087 |2.392 |0.234 |-0.268 |
5095.396 |28.093 |31.187 |-5.107 |2.38 |0.214 |-0.281 |
5110.568 |28.093 |31.25 |-5.163 |2.315 |0.266 |-0.4 |
5125.74 |28.093 |31.187 |-5.205 |2.402 |0.116 |-0.258 |
5141.002 |28.093 |31.187 |-5.082 |2.367 |0.239 |-0.293 |
5156.174 |28.093 |31.25 |-5.072 |2.499 |0.357 |-0.216 |
5171.345 |28.093 |31.25 |-5.104 |2.394 |0.325 |-0.32 |
5186.606 |28.093 |31.25 |-5.144 |2.345 |0.285 |-0.37 |
5201.869 |28.093 |31.312 |-5.287 |2.367 |0.249 |-0.401 |
5217.312 |28.093 |31.312 |-5.183 |2.263 |0.353 |-0.505 |
5232.574 |28.093 |31.312 |-5.166 |2.365 |0.37 |-0.403 |
5247.745 |28.093 |31.25 |-5.186 |2.27 |0.244 |-0.444 |
5263.006 |28.093 |31.312 |-5.176 |2.409 |0.36 |-0.359 |
5278.178 |28.093 |31.312 |-5.223 |2.362 |0.313 |-0.406 |
5293.53 |28.093 |31.312 |-5.198 |2.534 |0.338 |-0.234 |
5308.882 |28.093 |31.312 |-5.252 |2.382 |0.284 |-0.386 |
5324.398 |28.093 |31.312 |-5.25 |2.31 |0.286 |-0.458 |
5339.66 |28.093 |31.312 |-5.171 |2.335 |0.365 |-0.433 |
5354.922 |28.093 |31.312 |-5.237 |2.481 |0.298 |-0.287 |
5370.094 |28.093 |31.312 |-5.257 |2.496 |0.279 |-0.272 |
5385.266 |28.093 |31.312 |-5.247 |2.442 |0.289 |-0.326 |
5400.89 |28.093 |31.25 |-5.171 |2.434 |0.258 |-0.28 |
5416.062 |28.093 |31.312 |-5.269 |2.61 |0.266 |-0.157 |
5431.324 |28.093 |31.25 |-5.274 |2.573 |0.155 |-0.141 |
